Soil_Texture,Soil_Moisture_%,Bulk_Density_g_cm3,Porosity_%,Water_Holding_Capacity_%,pH_Level,Electrical_Conductivity_dS_m,Organic_Carbon_%,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Sulfur_mg_kg,Calcium_mg_kg,Magnesium_mg_kg,Temperature_C,Rainfall_mm,Humidity_%,Solar_Radiation_W_m2,Recommended_Crop,Soil_Health_Score
Clayey,7,1.45,44.57,28.35,5.75,0.22,2.93,226.84,47.02,389.79,14.74,1885.46,108.71,11.93,347.47,42.5,450.48,Corn,66.28890884
Clayey,35.28,1.37,47.82,12.91,5.04,0.74,2,306.11,22.03,309.09,25.86,650.34,232.8,28.76,410.55,59.84,186.23,Millets,40.54964959
Sandy,28.6,1.27,45.66,47.04,8.47,1.5,0.68,495.13,43.46,201.72,11.84,553.77,87.72,27.37,1337.41,79.6,116.5,Millets,61.26286383
Sandy,20.89,1.7,45.95,49.92,6.85,2.07,1.06,86.59,24.72,89.31,32.37,609.5,153.32,34.07,939.93,89.93,511.11,Millets,31.18525796
Sandy,16.07,1.78,34.4,32.54,8.2,1.59,2.43,152.29,34.81,316.74,11.59,127.23,463.39,20.66,888.06,30.66,136.95,Millets,48.18811115
Sandy,15.74,1.53,41.83,43.25,7.01,0.78,2.44,237.64,30.48,125.7,54.82,1394.33,410.21,34.47,758.71,34.56,399.99,Millets,54.66789053
Clayey,17.36,1.75,48.39,19.44,7.79,0.63,2.57,127.27,6.83,90.76,9.14,1846.52,432.43,17.24,569.55,49.26,142.05,Millets,30.48540745
Clayey,6.95,1.72,35.88,13.95,6.23,0.62,0.48,72.43,33.44,371.95,6.95,975.63,82.17,19.53,507.35,40.94,109.28,Millets,28.39109818
Sandy,9.62,1.79,32.22,17.48,6.2,1.37,0.51,177.91,16.35,186.59,50.53,1132.41,452.92,38.66,1087.48,51.13,203.82,Peanuts,26.8185392
Clayey,11.26,1.49,35.12,41.85,7.73,1.1,2.46,421.91,13.65,109.97,16.42,1065.26,476.7,34.46,434.37,67.83,448.16,Millets,51.27732663
Sandy,39.94,1.45,32.24,44.97,8.02,1.54,3.5,221.45,19.79,248.51,52.92,837.58,315.16,20.48,506.1,72.88,411,Millets,48.63981544
Sandy,37.59,1.18,40.29,22.85,6.53,1.97,1.11,489.75,42.3,220.94,15.98,257.67,474.72,33.76,218.41,45.18,683.73,Millets,62.40133449
Clayey,17.74,1.61,31.11,37.64,7.2,2.16,2.33,473.58,21.01,195.88,26.86,124.47,217.06,28.56,955.72,70.88,725.06,Millets,49.76100178
Sandy,29.14,1.41,48.54,49.03,5.66,0.16,3.38,203.92,49.76,192.64,59.12,1852.06,334.32,11.82,937.92,66.05,480.94,Millets,70.68804495
Loamy,35.58,1.42,49.31,38.42,8.28,0.85,2.89,357.9,36.31,338.72,13.87,1816.58,147.84,36.74,839.64,81.79,317.53,Vegetables,72.8243605
Loamy,23.61,1.32,40,47.93,6.46,0.13,2.35,379.89,11.49,357.8,22.6,1527.59,490.98,33.79,1120.35,69.29,444.68,Millets,68.7145343
Clayey,5.41,1.37,41.02,39.28,7.44,0.52,2.25,130.65,13.26,317.15,10.09,730.25,155.24,30,1065.58,79.34,616.01,Millets,36.61096938
Loamy,38.3,1.28,31.43,31.69,8.1,1.36,2.43,90.31,26.6,117.81,59.43,321.09,94.78,23.26,502.79,88.88,321.95,Millets,17.7038417
Clayey,15.29,1.2,40.31,23.85,4.65,0.4,2.82,379.13,17.61,94.52,33.54,1964.09,337.8,30.31,601.74,41.02,150.13,Vegetables,42.764421
Loamy,31.37,1.53,31.14,10.59,4.68,0.16,2.39,330.24,39.26,208.3,34.06,1268.64,168.99,33.21,402.54,44.12,581.99,Millets,38.40612662
Sandy,14.29,1.58,39.13,28.26,6.05,1.88,0.25,62.9,37.86,123.64,17.21,1091.49,58.92,13.7,993.06,44.66,322.03,Peanuts,22.60100581
Loamy,19.81,1.73,32.32,30.11,4.53,2.03,1.49,223.36,24.41,256.34,47.02,1502.56,390.72,22.12,983.78,37.76,441.22,Millets,43.33103697
Clayey,16.57,1.62,46.12,11.09,8.02,2.45,3.26,69.66,17.34,88.47,27.49,1168.47,219.3,18.6,1407.64,67.14,632.84,Millets,22.39520348
Sandy,37.21,1.26,41.04,11.71,8.01,0.48,0.62,422.73,35.07,339.35,28.67,1049.9,234.78,31.91,1459.19,61.49,357.92,Sugarcane,51.97734765
Sandy,38.77,1.23,41.22,13.57,4.72,2.04,0.37,468.68,7.05,173.46,50.69,1409.84,262.01,37.17,727.71,82.53,189.98,Millets,33.48536149
Loamy,32.28,1.67,43.26,41.83,5.73,1.63,3.06,358.57,13.02,65.71,29.57,1755.67,344.33,28.66,531.52,54.3,611.97,Vegetables,50.89438732
Sandy,5.65,1.48,44.29,42.14,7.06,1.99,1.47,373.63,38.4,246.72,19.21,1862.25,156.03,11.15,499.12,48.12,187.98,Millets,69.35711512
Clayey,24.58,1.64,37.55,41.96,5.87,0.28,0.21,377.48,46.89,89.62,27.59,840.45,131.2,14.47,657.25,48.87,670.41,Millets,44.99793326
Sandy,36.21,1.28,45.05,37.17,8.47,1.6,2.77,457.41,35.31,205.59,48.18,466.93,91.38,14.71,607.94,53.16,277.16,Vegetables,57.74950205
Sandy,30.72,1.16,34.63,14.36,6.72,0.95,1.27,363.5,8.51,368.27,11.07,1770.21,220.98,28.75,900.38,53.55,706.31,Millets,44.5049762
Clayey,6.5,1.34,30.87,22.14,7.91,2.41,3.35,443.78,28.63,239.33,35.02,1722.14,200.1,19.98,200.62,77.28,207.68,Vegetables,59.55148487
Clayey,24.16,1.46,30.05,25.31,8.29,1.36,2.8,129.6,41.01,358.27,31.63,609.09,225.4,20.27,1260.77,67.03,473.22,Rice,44.71809753
Sandy,30.91,1.58,30.25,19.05,7.31,0.26,1.37,193.67,10.6,118.01,38.68,450.88,153.33,11.12,993.36,75.82,436.33,Millets,10.24797039
